dataset,strategy,B,acc_mean,acc_std,loss_mean,loss_std,gain_mean,gain_std,time_mean
Rotated Synthetic (binary),proxy_search,1,0.8873333333333333,0.0024944382578492965,0.29682724674542743,0.005759037110129887,5.313847203492429,13.796832446931429,0.705351988474528
Rotated Synthetic (binary),proxy_search,2,0.8886666666666666,0.004988876515698593,0.29650869965553284,0.004378659771089066,7.129097688451616,16.381372786349147,0.7392889658610026
Rotated Synthetic (binary),proxy_search,4,0.898,0.0065319726474218145,0.29320836067199707,0.006773374036776544,8.633284382625707,16.243124288801948,0.815244197845459
Rotated Synthetic (binary),proxy_search,8,0.9013333333333334,0.005249338582674546,0.27903387943903607,0.007681685360077864,10.759024335814349,18.576137389210153,0.9579107761383057
Rotated Synthetic (binary),proxy_search,16,0.8966666666666666,0.0024944382578492965,0.27736685673395794,0.002913617069386743,12.034336063456754,22.152161814761538,1.2917505900065105
Rotated Synthetic (binary),proxy_search,32,0.9146666666666667,0.008993825042154702,0.2607946842908859,0.008698440812505441,12.808014540788966,24.12403135372376,2.133031447728475
Rotated Synthetic (binary),proxy_search,64,0.91,0.005887840577551903,0.25369341174761456,0.006478967981595875,13.47527636551857,27.296997879397008,2.971761703491211
Rotated Synthetic (binary),proxy_search,128,0.916,0.009092121131323912,0.24453546106815338,0.01066612099420777,13.768108385046027,26.75656121534469,5.390004952748616
Rotated Synthetic (binary),pure_random,1,0.88,0.0043204937989385775,0.30754069487253827,0.007019150148706529,4.128777498036345,6.724477593160099,0.6948244571685791
Rotated Synthetic (binary),pure_random,2,0.8813333333333334,0.0024944382578492965,0.30329931775728863,0.002399112261754817,5.573009462627059,7.493769462000044,0.7565553983052572
Rotated Synthetic (binary),pure_random,4,0.884,0.0032659863237109073,0.3074827392896016,0.0008720380062094282,7.230582931024187,10.256970234964365,0.8980517387390137
Rotated Synthetic (binary),pure_random,8,0.8913333333333333,0.008055363982396388,0.2887921730677287,0.00183277283193929,8.831767964218344,13.047035152731516,0.9750777085622152
Rotated Synthetic (binary),pure_random,16,0.888,0.009933109617167568,0.2789478500684102,0.007247149212989205,10.376688701513855,16.74397132217973,1.3890931606292725
Rotated Synthetic (binary),pure_random,32,0.9013333333333334,0.0041096093353126546,0.2734540601571401,0.005442788782109651,11.481683250342574,18.011778406068114,1.8871366182963054
Rotated Synthetic (binary),pure_random,64,0.9,0.011313708498984772,0.26555126905441284,0.0038716598581109577,12.474723428015002,19.696713005294782,2.9723503589630127
Rotated Synthetic (binary),pure_random,128,0.9066666666666667,0.01236482466066095,0.25421541432539624,0.0074608513472145055,13.105520494817565,20.458516027590743,5.3821226755778
"Digits (binary, 0 vs 1)",proxy_search,1,0.9888888888888889,0.0,0.030666022871931393,0.0033089482850067005,7.87929473791114,25.676253096944457,0.24411527315775552
"Digits (binary, 0 vs 1)",proxy_search,2,0.9888888888888889,0.0,0.031051307916641235,0.003373787275541243,12.204028253895896,28.610935936191417,0.22146948178609213
"Digits (binary, 0 vs 1)",proxy_search,4,0.9888888888888889,0.0,0.02845655009150505,0.004327315729065876,15.342186277679035,34.490617692683166,0.21923907597859701
"Digits (binary, 0 vs 1)",proxy_search,8,0.9962962962962963,0.005237828008789222,0.025917951638499897,0.004741732077075776,15.89615102665765,35.1771448467734,0.25646138191223145
"Digits (binary, 0 vs 1)",proxy_search,16,0.9962962962962963,0.005237828008789222,0.025556564331054688,0.003989956665024375,16.11975413436691,36.11268099004348,0.3488146464029948
"Digits (binary, 0 vs 1)",proxy_search,32,0.9962962962962963,0.005237828008789222,0.023463357239961624,0.0016925638195301289,16.88702787927219,36.92296239650274,0.4814165433247884
"Digits (binary, 0 vs 1)",proxy_search,64,1.0,0.0,0.021582039073109627,0.0012597885085771654,18.80173822428829,40.39300272359388,0.7621153195699056
"Digits (binary, 0 vs 1)",proxy_search,128,1.0,0.0,0.020758551235000294,0.0005172815720736885,21.110254023386084,42.34081498412789,1.2467353343963623
"Digits (binary, 0 vs 1)",pure_random,1,0.9888888888888889,0.0,0.03214186429977417,0.005178868675122732,3.5510819587384312,10.032918151916284,0.19452317555745444
"Digits (binary, 0 vs 1)",pure_random,2,0.9888888888888889,0.0,0.033272301157315574,0.005397717647028049,6.574941207965215,14.956361935708541,0.21160427729288736
"Digits (binary, 0 vs 1)",pure_random,4,0.9888888888888889,0.0,0.03189521779616674,0.0054812928224192686,8.443692389109456,18.209185837911416,0.2280869483947754
"Digits (binary, 0 vs 1)",pure_random,8,0.9888888888888889,0.0,0.03166107398768266,0.0057732302920962325,10.611722995697612,25.65739884355943,0.26555633544921875
"Digits (binary, 0 vs 1)",pure_random,16,0.9888888888888889,0.0,0.034670304507017136,0.002849085637331875,12.601730225779486,27.18780868193916,0.34475048383076984
"Digits (binary, 0 vs 1)",pure_random,32,0.9888888888888889,0.0,0.03224474750459194,0.00366658290941883,13.833751709528372,29.889354945523184,0.49888332684834796
"Digits (binary, 0 vs 1)",pure_random,64,0.9888888888888889,0.0,0.031814019506176315,0.006402811102620159,15.456967874621668,33.80148844212365,0.8115317026774088
"Digits (binary, 0 vs 1)",pure_random,128,0.9888888888888889,0.0,0.03287839206556479,0.0020668588575706902,15.68264540568204,34.00193328448998,1.4372374216715496
